"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"13.8","71.1"," CLOSED"," ON","    00:09:33","18.89","19.646365422397","0"
"13.8","71"," CLOSED"," ON","    00:09:36","18.89","19.646365422397","0"
"13.8","71"," CLOSED"," ON","    00:09:38","18.89","19.646365422397","0"
"13.8","71.1"," CLOSED"," ON","    00:09:41","18.89","19.646365422397","0"
"13.8","71.2"," CLOSED"," ON","    00:09:44","18.89","19.646365422397","0"
"13.8","71.3"," CLOSED"," ON","    00:09:46","18.89","19.646365422397","0"
"13.8","71.4"," CLOSED"," ON","    00:09:49","18.89","19.646365422397","0"
"13.8","71.5"," CLOSED"," ON","    00:09:51","18.89","19.646365422397","0"
"13.8","71.4"," CLOSED"," ON","    00:09:54","18.89","19.646365422397","0"
"13.8","71.3"," CLOSED"," ON","    00:09:56","18.89","19.646365422397","0"
"13.8","71.3"," CLOSED"," ON","    00:09:59","18.89","19.646365422397","0"
"13.8","71.3"," CLOSED"," ON","    00:10:02","18.89","19.646365422397","0"
"13.8","71.4"," CLOSED"," ON","    00:10:04","18.89","19.646365422397","0"
"13.8","71.4"," CLOSED"," ON","    00:10:07","18.89","19.646365422397","0"
"13.8","71.3"," CLOSED"," ON","    00:10:09","18.89","19.646365422397","0"
"13.8","71.4"," CLOSED"," ON","    00:10:12","18.89","19.646365422397","0"
"13.7","71.3"," CLOSED"," ON","    00:10:15","18.89","19.267822736031","0"
"13.8","71.5"," CLOSED"," ON","    00:10:17","18.89","19.646365422397","0"
"13.7","71.4"," CLOSED"," ON","    00:10:20","18.89","19.267822736031","0"
"13.8","71.5"," CLOSED"," ON","    00:10:22","18.89","19.646365422397","0"
"13.8","71.5"," CLOSED"," ON","    00:10:25","18.89","19.646365422397","0"
"13.8","71.5"," CLOSED"," ON","    00:10:27","18.89","19.646365422397","0"
"13.8","71.5"," CLOSED"," ON","    00:10:30","18.89","19.646365422397","0"
"13.8","71.5"," CLOSED"," ON","    00:10:33","18.89","19.646365422397","0"
"13.8","71.6"," CLOSED"," ON","    00:10:35","18.89","19.646365422397","0"
