TIME,PowerSource,UsedPower
16:40:00,RES,2.419179677963257
16:41:00,RES,2.5781946182250977
16:42:00,Grid,3.2097854614257812
16:55:00,Grid,2.8091208934783936
16:56:00,Grid,2.462217092514038
16:57:00,Grid,3.49873685836792
16:58:00,Grid,3.8205580711364746
16:59:00,Grid,3.07186222076416
17:00:00,Grid,3.301734685897827
17:12:00,Grid,2.335310220718384
17:13:00,Grid,2.5174686908721924
17:14:00,Grid,2.8550963401794434
17:15:00,Grid,3.038994073867798
17:16:00,Grid,2.462217092514038
17:17:00,Grid,2.7960166931152344
17:18:00,Grid,3.025888681411743
17:19:00,Grid,3.2097854614257812
17:20:00,Grid,3.5254857540130615
17:21:00,Grid,3.4289824962615967
17:22:00,Grid,2.946465015411377
17:39:00,Grid,3.284226417541504
17:40:00,Grid,3.3324785232543945
17:41:00,Grid,3.0912206172943115
17:42:00,Grid,2.4586355686187744
17:43:00,Grid,1.9815890789031982
17:44:00,Grid,2.054537773132324
17:56:00,Grid,2.7500407695770264
17:57:00,Grid,2.841989755630493
17:58:00,Grid,3.2097854614257812
17:59:00,Grid,3.301734685897827
18:00:00,Grid,3.1638107299804688
18:01:00,Grid,2.5900440216064453
18:02:00,Grid,2.717172861099243
18:03:00,Grid,2.2148611545562744
18:18:00,Grid,4.1883544921875
18:19:00,Grid,3.301734685897827
18:19:00,Grid,3.301734685897827
18:20:00,Grid,2.841989755630493
18:21:00,Grid,3.038994073867798
18:22:00,Grid,2.76314640045166
18:22:00,Grid,2.76314640045166
18:23:00,Grid,2.6711976528167725
18:24:00,Grid,2.8091208934783936
18:30:00,Grid,2.4014010429382324
18:30:00,Grid,2.4014010429382324
18:31:00,Grid,2.005096435546875
18:32:00,Grid,1.7612152099609375
18:33:00,Grid,1.8221855163574219
18:33:00,Grid,1.8221855163574219
18:34:00,Grid,1.913641095161438
18:34:00,Grid,1.913641095161438
18:35:00,Grid,2.248975992202759
18:37:00,Grid,2.8888332843780518
18:38:00,Grid,2.4557604789733887
18:38:00,Grid,2.4557604789733887
18:39:00,Grid,2.8091208934783936
18:39:00,Grid,2.8091208934783936
18:40:00,Grid,3.084967613220215
18:40:00,Grid,3.084967613220215
18:41:00,Grid,3.360813617706299
18:42:00,Grid,3.6826348304748535
18:43:00,Grid,2.9799134731292725
18:44:00,Grid,3.11783766746521
18:45:00,Grid,3.3477096557617188
18:46:00,Grid,4.418225288391113
18:46:00,Grid,4.418225288391113
18:47:00,Grid,2.9799134731292725
18:47:00,Grid,2.9799134731292725
18:48:00,Grid,3.360813617706299
18:49:00,Grid,2.6252241134643555
18:50:00,Grid,2.0341856479644775
18:50:00,Grid,2.0341856479644775
18:51:00,Grid,2.2794606685638428
18:51:00,Grid,2.2794606685638428
18:52:00,Grid,2.066065788269043
18:53:00,Grid,1.9746109247207642
18:54:00,Grid,2.066065788269043
18:54:00,Grid,2.066065788269043
18:55:00,Grid,2.3404314517974854
18:55:00,Grid,2.3404314517974854
19:03:00,Grid,3.11783766746521
19:04:00,Grid,4.326277256011963
19:05:00,Grid,3.3477096557617188
19:06:00,Grid,3.6235573291778564
19:13:00,Grid,1.9746109247207642
19:14:00,Grid,2.157522201538086
19:15:00,Grid,2.3709170818328857
19:16:00,Grid,2.5656139850616455
19:17:00,Grid,3.0755670070648193
19:26:00,Grid,4.494874000549316
19:27:00,Grid,4.035130023956299
19:28:00,Grid,3.253565788269043
19:29:00,Grid,2.6266744136810303
19:30:00,Grid,2.054537773132324
19:33:00,Grid,0.28384652733802795
19:33:00,Grid,0.28384652733802795
19:36:00,RES,-2.152890205383301
19:38:00,RES,-3.164623498916626
19:39:00,RES,-2.5946247577667236
19:40:00,RES,-2.025710105895996
19:41:00,RES,-1.1723374128341675
19:42:00,RES,-0.6034232974052429
19:49:00,Grid,1.4547282457351685
19:50:00,Grid,1.6693451404571533
19:51:00,Grid,1.5763880014419556
19:52:00,Grid,1.7448241710662842
19:53:00,Grid,1.6289163827896118
20:00:00,Grid,1.2347558736801147
20:01:00,Grid,0.9240164756774902
20:02:00,Grid,0.4889878034591675
20:03:00,Grid,0.4301074147224426
20:04:00,Grid,0.10956064611673355
20:12:00,Grid,0.8291519284248352
20:13:00,Grid,0.9436324834823608
20:14:00,Grid,1.5007131099700928
20:15:00,Grid,1.1948646306991577
20:16:00,Grid,1.7252497673034668
20:22:00,Grid,0.16053643822669983
20:23:00,Grid,0.1153334453701973
20:24:00,Grid,0.18313893675804138
20:25:00,Grid,0.8531321287155151
20:26:00,Grid,0.6722891330718994
20:34:00,Grid,2.6217756271362305
20:35:00,Grid,3.4297218322753906
20:36:00,Grid,3.2849667072296143
20:37:00,Grid,2.5561068058013916
20:44:00,Grid,1.9642000198364258
20:45:00,Grid,2.385774612426758
20:46:00,Grid,2.0769989490509033
20:47:00,Grid,3.069666624069214
20:48:00,Grid,3.575385093688965
20:56:00,Grid,4.289108753204346
20:57:00,Grid,3.1793203353881836
20:58:00,Grid,2.9756603240966797
20:59:00,Grid,2.490007162094116
21:07:00,Grid,4.538653373718262
21:08:00,Grid,4.819539546966553
21:09:00,Grid,5.301653861999512
21:16:00,Grid,4.915639400482178
21:17:00,Grid,3.849036693572998
21:18:00,Grid,4.092014312744141
21:24:00,Grid,4.5410475730896
21:25:00,Grid,4.865750789642334
21:26:00,Grid,5.38272762298584
21:33:00,Grid,5.719423294067383
21:34:00,Grid,5.669817924499512
21:35:00,Grid,5.569438934326172
21:41:00,Grid,4.373247146606445
21:42:00,Grid,4.787017345428467
21:43:00,Grid,5.318645477294922
21:44:00,Grid,5.805699348449707
21:50:00,Grid,3.4629976749420166
21:51:00,Grid,3.49013352394104
21:52:00,Grid,3.509516477584839
21:57:00,Grid,3.7654035091400146
21:58:00,Grid,4.450695514678955
21:59:00,Grid,4.439667701721191
22:00:00,Grid,4.473789691925049
22:05:00,Grid,2.823507070541382
22:06:00,Grid,3.2664432525634766
22:07:00,Grid,3.2095000743865967
22:08:00,Grid,3.1569364070892334
22:14:00,Grid,2.8220176696777344
22:15:00,Grid,3.315680742263794
22:16:00,Grid,3.8553569316864014
22:24:00,Grid,1.6096007823944092
22:25:00,Grid,1.6253314018249512
22:26:00,Grid,1.6361464262008667
22:32:00,Grid,1.8132240772247314
22:33:00,Grid,1.7187312841415405
22:34:00,Grid,1.8584835529327393
22:40:00,Grid,2.0048060417175293
22:41:00,Grid,2.0020999908447266
22:42:00,Grid,1.996955394744873
22:47:00,Grid,1.8071435689926147
22:48:00,Grid,1.8043376207351685
22:49:00,Grid,2.0156052112579346
22:54:00,Grid,2.0280966758728027
22:55:00,Grid,2.351518392562866
22:56:00,Grid,2.351518392562866
23:01:00,Grid,2.308121681213379
23:02:00,Grid,2.332994222640991
23:03:00,Grid,2.3528409004211426
23:09:00,Grid,2.013334274291992
23:10:00,Grid,2.0004656314849854
23:11:00,Grid,1.9978902339935303
23:20:00,Grid,1.0771386623382568
23:21:00,Grid,1.3133840560913086
23:22:00,Grid,1.328131079673767
23:28:00,Grid,1.6292644739151
23:29:00,Grid,1.6440114974975586
23:30:00,Grid,1.8066761493682861
23:36:00,Grid,1.8368537425994873
23:37:00,Grid,1.994149088859558
23:38:00,Grid,1.9928958415985107
23:43:00,Grid,1.8024665117263794
23:44:00,Grid,1.7996598482131958
23:45:00,Grid,1.799192190170288
23:57:00,Grid,1.1836363077163696
23:58:00,Grid,1.2827035188674927
23:59:00,Grid,1.275503158569336
