TIME,Predicted_Power_final
2024-11-10 18:53:00,13.943454
2024-11-10 18:54:00,13.941397
2024-11-10 18:55:00,13.942966
2024-11-10 18:56:00,13.942451
2024-11-10 18:57:00,13.953193
2024-11-10 18:58:00,13.959666
2024-11-10 18:59:00,13.974647
2024-11-10 19:00:00,13.976817
2024-11-10 19:01:00,13.991791
2024-11-10 19:02:00,14.003018
2024-11-10 19:03:00,14.000423
2024-11-10 19:04:00,14.00472
2024-11-10 19:05:00,14.013293
2024-11-10 19:06:00,14.004745
2024-11-10 19:07:00,13.998246
2024-11-10 19:08:00,13.993839
2024-11-10 19:09:00,13.98302
2024-11-10 19:10:00,13.955186
2024-11-10 19:11:00,13.948693
2024-11-10 19:12:00,13.935568
2024-11-10 19:13:00,13.935862
2024-11-10 19:14:00,13.933781
2024-11-10 19:15:00,13.942362
2024-11-10 19:16:00,13.942427
2024-11-10 19:17:00,13.946783
2024-11-10 19:18:00,13.957509
2024-11-10 19:19:00,13.953291
2024-11-10 19:20:00,13.6324
2024-11-10 19:21:00,13.65624
2024-11-10 19:22:00,13.660584
2024-11-10 19:23:00,13.673594
2024-11-10 19:24:00,13.66711
2024-11-10 19:25:00,13.665243
2024-11-10 19:26:00,13.671432
2024-11-10 19:27:00,13.662737
2024-11-10 19:28:00,13.656192
2024-11-10 19:29:00,13.640988
2024-11-10 19:30:00,13.619287
2024-11-10 19:31:00,13.608436
2024-11-10 19:32:00,13.586426
2024-11-10 19:33:00,13.819267
2024-11-10 19:34:00,14.432007
2024-11-10 19:35:00,14.420007
2024-11-10 19:36:00,14.697181
2024-11-10 19:37:00,15.278602
2024-11-10 19:38:00,15.264422
2024-11-10 19:39:00,15.138089
2024-11-10 19:40:00,15.027561
2024-11-10 19:41:00,14.910615
2024-11-10 19:42:00,14.793671
2024-11-10 19:43:00,14.672394
2024-11-10 19:44:00,14.568408
2024-11-10 19:45:00,14.483908
2024-11-10 19:46:00,14.408093
2024-11-10 19:47:00,14.35394
2024-11-10 19:48:00,14.310809
2024-11-10 19:49:00,14.267294
2024-11-10 19:50:00,14.25429
2024-11-10 19:51:00,14.221792
2024-11-10 19:52:00,14.204454
2024-11-10 19:53:00,14.195781
2024-11-10 19:54:00,14.180606
2024-11-10 19:55:00,14.1589365
2024-11-10 19:56:00,14.1567545
2024-11-10 19:57:00,14.154577
2024-11-10 19:58:00,14.130737
2024-11-10 19:59:00,14.109153
2024-11-10 20:00:00,14.096014
2024-11-10 20:01:00,14.061313
2024-11-10 20:02:00,14.052607
2024-11-10 20:03:00,14.030908
2024-11-10 20:04:00,14.00706
2024-11-10 20:05:00,13.989734
2024-11-10 20:06:00,13.968075
2024-11-10 20:07:00,13.957262
2024-11-10 20:08:00,13.952935
2024-11-10 20:09:00,13.944284
2024-11-10 20:10:00,13.950793
2024-11-10 20:11:00,13.939191
2024-11-10 20:12:00,13.929159
2024-11-10 20:13:00,13.933502
2024-11-10 20:14:00,13.922686
2024-11-10 20:15:00,13.922693
2024-11-10 20:16:00,13.916203
2024-11-10 20:17:00,13.905351
2024-11-10 20:18:00,13.896647
2024-11-10 20:19:00,13.866271
2024-11-10 20:20:00,13.853229
2024-11-10 20:21:00,13.841674
2024-11-10 20:22:00,13.809857
2024-11-10 20:23:00,13.805526
2024-11-10 20:24:00,13.796876
2024-11-10 20:25:00,13.783904
2024-11-10 20:26:00,13.783929
2024-11-10 20:27:00,13.770966
2024-11-10 20:28:00,13.773155
